timestamp,age,subscribed,work,like,add,expert,invest,income,capital,roi,passive,hopes,pains,barriers,area,area_m,buy,price
12/19/2022 19:27:26,35-44,Больше двух лет,Работаю в найме,"обучающие программы, которые были до 2022 года",больше разборов макроэкономики,анализу экономической ситуации,Занимаюсь инвестированием больше года,50-100 тыс. руб,500 000 руб.,10 %,25 000 руб. в месяц,буду больше инвестировать на будущее,"зависимость от работодателя, низкий доход, отсутствие самостоятельности",,Индексные фонды,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","где гарантия, что новый продукт будет рабочим?",если новый - то бесплатно
12/19/2022 19:27:31,35-44,1-2 года,Домохозяйка ,Фин советы,Разборы компании ,Управлять своим портфелем,Занимаюсь инвестированием больше года,20-50 тыс. руб,100000,,10-30 тыс ежемесячно ,Обрету уверенность и спокойствие ,Маленький доход,"После 24 февраля не знаю что делать дальше, просадка -50",Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля",Зависит от стоимости,10000
12/19/2022 19:27:54,18-21,1-2 года,Учусь в школе/универе,"Вкрадчивость и доступность преподнесения информации. Рекомендации по обращению с финансами, обзоры ситуации на рынке.",Больше советов по финансовой грамотности+ ваш опыт,Уметь трезво и холодно оценивать ситуацию.,"Да, меньше 2-х месяцев",Не зарабатываю,20000,,10000,"Ощущение финансовой свободы и независимости. Внутреннее спокойствие и уверенность. Возможность заниматься тем, чем хочешь, даже если эта работа не будет приносить много денег,т.к. для поддержания комфортной жизни будет иметься пассивный доход.","Путаница в голове с инструментами инвестирования, 
отсутствие источника дохода,т.к. не работаю, живу на стипендию+деньги родителей, 
некая ""романизация"" состояния бедности и внутренние убеждение, что все богатые люди априори плохие ","Начала, но пока что не очень удачно. Не хватило знаний на начальном этапе; сейчас легче, но знаний все ещё мало и в голове каша",Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта",30000
12/19/2022 19:28:41,45-55,1-2 года,Работаю в найме,"Аналитика, тема облигаций",Стратегии инвестирования,"Качественный сбалансированный портфель из акций,облигаций,вкладов",Занимаюсь инвестированием больше года,Это закрытая инфо,Точно не всю котлету,,100-150  т.р.,Я уйду из медицины,"Трудные деньги в профессии, труд мой дешев,я не молод",Поздно начал,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Доступный
12/19/2022 19:28:53,25-30,1-3 месяца,Работаю в найме,В тг-канале информативность,-,Финансовая грамотность,Планирую начать,50-100 тыс. руб,50-100 т.р.,,"для начала от 5-10 т.р., а в идеале более 100 т.р.",Появится больше свободы и возможностей не цепляться за работу.,"Санкции (сложности с переводом денег за рубеж и т.д.). Хочется ежемесячный доход крупнее. Чувствую, что очень не хватает финансовой грамотности","Пока не до конца понимаю, как правильно инвестировать, боюсь рисковать",Недвижимость,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Криптовалюта",Зависит от стоимости,-
12/19/2022 19:29:02,31-34,Пол года - год,Работаю в найме,советы по вложению средств (разнообразные варианты),Было бы интересно видеть именно Ваши инвестиции (т.е. более подробно какой % портфеля в тот или иной сектор),"Анализ рынка, подача информации",Занимаюсь инвестированием больше года,100-150 тыс. руб,500 000 руб.,не менее 12-15%,не менее 50 000 ежемесячно,смогу дополнительно оперировать средствами. Цель - к 40 годам позволить себе не РАБотать на стороннюю организацию.,уровень официальной и фактической инфляцией))),,Криптовалюта,"Формирование пассивного дохода для выхода на пенсию, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами, Криптовалюта","Зависит от того, что будет внутри продукта","важно что предлагаете. Это непростой вопрос. Главное - чтобы люди сначала увидели, что данный продукт работает хотябы на среднесроке."
12/19/2022 19:29:03,35-44,Пол года - год,Работаю в найме,Грамотные советы по инвестиции и финансовой грамотности без воды и навязываний ,Больше личных примеров вложений и приумножений финансов,"Правильно и корректно подходить к финансам, приумножить капитал без больших рисков",Занимаюсь этим 6-12 месяцев,100-150 тыс. руб,20000,20%,100000,"Уволюсьс найма и займусь самообучением, развитием, время уделять себе и семье, путишествия, занятие по душе (хобби).","Малый семейный доход, ошибки в кредитных решениях, нет дополнительного и пассивного дохода","Продолжаю инвестировать, но очень малыми суммами, т.к  упал семейный доход и выросли цены на товары/услуги",Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Инвестиции в фондовый рынок России, Криптовалюта",Зависит от стоимости,2000
12/19/2022 19:29:05,45-55,3-6 месяцев,Учитель,Стиль общения с подписчиками,Всё в меру,"Читаю, кое что беру на вооружение","Пробовал-(а), но сейчас не инвестирую",20-50 тыс. руб,10000,500000,300000,"Свобода передвижения, путешествия, инвестиции","Зарплата, нехватка свободных денег на инвестирование, инфляция",Нехватка свободных денег,Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России",Зависит от стоимости,3000
12/19/2022 19:29:28,35-44,1-2 года,Топ-менеджмент,"Конкретные прикладные советы и фишки при инвестировании, примеры портфелей, интересные etf итп","Информации, адаптированной под текущую ситуацию",Опыт на рынке в разных ситуациях/ фазах.,Занимаюсь инвестированием больше года,500 - 1 млн. руб,100-200 тыс ежемесячно,10-12% после налогов,500 тр без учета инфляции,"больше времени на другие вопросы, не связанными с деньгами","1) доход от работы в найме только, от инвестиций - незначительный (после февраля 2022) 2) заработок в рублях вырос кратно за последние 5 лет, но из-за обесценивания рубля эффект почти нивелирован 3) растущие обязательные и необходимые расходы ",,Индексные фонды,"Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами, Криптовалюта",Зависит от стоимости,5000 р
12/19/2022 19:31:45,35-44,1-2 года,Работаю в найме,"Свежая и интересная финансовая информация, хорошие советы и обучение!!! ",Обучение правильному инвестирования в акции РФ,"Экспертность-большой опыт финансовой деятельности и правильные выводы из экономической ситуации. Хочу научиться-психологическим аспектам инвестирования, правильному распределению финансов, накопления капитала",Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,30-40тыс. рублей ежемесячно,12-15% в рублях,150 тыс. рублей в месяц,"Наконец-то найду время на семью, буду путешествовать и займусь любимым делом. ","Ипотека, распределение денег, темп наращивания капитала",,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,30-50тыс. рублей
12/19/2022 19:32:26,Больше 55,3-6 месяцев, Пенсионер,"Аналитика, новости фин.рынка, обзор инвестиционных продуктов",Более детализированные стратегии для начинающих инвесторов,"Аналитическое мышление, опыт","Да, меньше 2-х месяцев",50-100 тыс. руб,5000-10000 руб.,До 100 000 руб.,20 - 30 тыс.руб. В год,"Буду чувствовать себя более уверенно, смогу позволить себе более комфортный отдых","Рост инфляции: расходы увеличиваются, а доходы нет; нестабильность в стране; перспектива бедной старости",,Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля","Зависит от того, что будет внутри продукта",До 20 000 руб.
12/19/2022 19:32:39,35-44,1-2 года,Работаю в найме,Советы,Разбор акций,Стратегия инвестирования,"Пробовал-(а), но сейчас не инвестирую",100-150 тыс. руб,100000,Выше инфляции реальной,150000,Уйду с найма в своё дело,"Нет пассивного дохода, мало свободного времени на себя/семью, нет своей жилплощади",Пауза из-за сво,Фондовый рынок РФ,"Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,5т.р.
12/19/2022 19:32:46,45-55,3-6 месяцев,Работаю в найме,Трудно выделить,Пошаговые инструкции для вложений,Прогнозированию,"Пробовал-(а), но сейчас не инвестирую",50-100 тыс. руб,200 долларов,,10-15%,Буду откладывать,"Низкая зарплата
Невозможность откладывать",,Фондовый рынок РФ,"Экономия и планирование расходов, Понять, как закрыть кредиты и избавиться от долгов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России","Зависит от того, что будет внутри продукта",Нет ответа
12/19/2022 19:33:13,Больше 55,Больше двух лет,пенсионер,Вся Ваша информаця полезна,достаточно,-,Занимаюсь инвестированием больше года,До 20 тыс. руб,10-15% от дохода,10-15,15-20 тысяч в месяц,Буду увереннее себя чувствовать,"Мои потребности не большие. Есть жилье, есть подушка безопасности, поэтому особых проблем не испытываю.",,Фондовый рынок РФ,"Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России","Зависит от того, что будет внутри продукта",5000
12/19/2022 19:33:40,45-55,1-2 года,Работаю в найме,Разбор эмитентов,Открытый портфель,Широте подхода  и диверсификации,Занимаюсь инвестированием больше года,20-50 тыс. руб,200 000,10-15%,"Позже, сейчас реинвестировать","Это на пенсии, возможно, когда не будет дохода активного","Геополитика, риски",,Индексные фонды,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Не дешев
12/19/2022 19:34:28,35-44,Пол года - год,Работаю в найме,"Новости, обзоры (в т.ч. компаний), иная различная информация по инвестиционным инструментам","Анализа акций новых эмитентов, торгующихся на СПБ Бирже (других стран, кроме США и Китая) ",Построению инвестиционной стратегии с учетом нынешних реалий в мире,Занимаюсь инвестированием больше года,100-150 тыс. руб,1-2 млн рублей,15-20%,не менее 10%,Займусь благотворительностью и буду копить на образование детей в Москве,"Стабильность, не вполне комфортный доход, инфляция, поедающая накопления",Достаточно большой убыток после февраля т.г.,Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Торговля фьючерсами и опционами",Зависит от стоимости,до 10 т.р.
12/19/2022 19:34:48,25-30,1-2 года,Инвестициями (недвижка/фондовый рынок),Здравые рассуждения взрослого опытного человека,"Больше информации, анализа, рассуждений по текущей ситуации. Примеры собственных инвестиций.",Опыт,Занимаюсь инвестированием больше года,Не зарабатываю,50к долларов,10к долларов,5-7%,"Свобода путешествий, bucket list. В целом свобода","Зацикленности на деньгах, зависимость от других, от обстоятельств",,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами",Скорее нет,Не знаю
12/19/2022 19:35:30,45-55,3-6 месяцев,Работаю в найме,"Обзоры, идеи","Подсказки где , что искать",Анализу,Занимаюсь этим 6-12 месяцев,20-50 тыс. руб,"Чем больше тем лучше, каждый месяц пополняюпо пять тысяч ",Больше 20%,40-50тысяч в месяц,Смогу покупать не по акциям и отложить на отпуск ,"Нехватка денег, нет финансовой подушки безопасности, нет допзаработка ",инвестирую по тихоньку ,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Внутридневная торговля, Торговля фьючерсами и опционами",Зависит от стоимости,"Я понимаю что не дешево, но чем дешевле тем больше народу сможет его купить- значит выгоднее больше народу сможет его купить, значит выго"
12/19/2022 19:36:16,45-55,Больше двух лет,Топ-менеджмент,"Бывают интересные мысли, на что обратить внимание",Как алттернативный взгляд норм,У всех хочется научиться одному- понимать рынок,Занимаюсь инвестированием больше года,1-3 млн. руб,Постоянно инвестирую,15%$¥£€,Не менее текущего по работе,Буду стремиться к следующей цели,Отсутствие того самого пассивного дохода и выполнение нескольких больших целей по обеспечению семьи,,Интереснее всего диверсификация,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами, Криптовалюта","Зависит от того, что будет внутри продукта",Смотря что там
12/19/2022 19:36:20,31-34,1-2 года,Работаю в найме,Простота для понимания ,Больше новых полезных советов в альтернативные инвестиции,Разработка и чёткое следование стратегии ,Занимаюсь инвестированием больше года,50-100 тыс. руб,100,20%,50,Смогу больше времени тратить на семью и путешествия ,"Недостаточно дохода для того, что покупать всё что захочу.
Планирование ипотеки",Перестал из-за событий февраля 22,Индексные фонды,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им, Торговля фьючерсами и опционами",Зависит от стоимости,5.000-7.000
12/19/2022 19:37:46,21-24,1-2 года,Работаю в найме,"То, что Вы разбираетесь в тематике различных инвестиций, подавая качественный материал и делясь собственным опытом.","Было бы интересно посмотреть на формат, где Вы начинаете с небольшой суммы (до 1000$) и формируете/ведете публично этот портфель, делясь результатами.","Умению обращать внимания на всевозможные аспекты инвестиций, будучи разносторонним и видя везде множество вариантов для заработка.","Да, занимаюсь 1-6 месяцев",20-50 тыс. руб,"1000$ изначально, и потом около 25-30-ти процентов от дохода ежемесячно",,"В ближайшей перспективе 20000$ в год вполне устроят. В мечтах же чем больше - тем лучше, но хотя бы от 120000$ в год с:","Я смогу путешествовать и использовать часть денег для того, чтоб приносить другим людям пользу, тем самым получая моральное удовлетворение от осознание того, что  я сделал что-то хорошее в этой жизни.","1) Моя фактическая работа не является работой моей мечты
2) Знаю что зарабатывать можно куда больше
3) Просто работая нельзя стать по настоящему финансово независимым",,Криптовалюта,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Криптовалюта","Зависит от того, что будет внутри продукта",В районе 300$
12/19/2022 19:38:02,31-34,Пол года - год,Работаю в найме,Аналитика,Сделки,"Разработка стратегии инвестирования, подбор компаний в наше время","Да, меньше 2-х месяцев",50-100 тыс. руб,150000,15-20% больше приветствуется ,15 т.р. и более в месяц,"Меньше работать, больше времени тратить на семью, хобби, больше отдыхать. Или же выйти на новый уровень инвестирования","Отсутсвие регулярных накоплений, не могу купить себе квартиру, незащищённость финансов",,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,"Затрудняюсь ответить, не знаю сколько стоят подобные продукты в данной сфере"
12/19/2022 19:39:02,35-44,1-2 года,Собственный бизнес,Не смотрю. Где смотреть?,-,-,Занимаюсь инвестированием больше года,500 - 1 млн. руб,500к,20-30%,5млн,Успокоюсь наконец,Пункт один: нет гарантии что до конца жизни я буду жить как сейчас ,Потерял много,Недвижимость,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Криптовалюта","Да, купил(а) бы сразу",10к
12/19/2022 19:39:03,35-44,Больше двух лет,"Специалист-фрилансер (таргет, СММ, копирайтинг, сторисмейкинг и.т.д)",Подробности ,Мало информации о дивидендных компаниях России ,"Видно, что Евгений умеет наращивать капитал ","Пробовал-(а), но сейчас не инвестирую",100-150 тыс. руб,300000,Более 18%,"Максимально возможный, с учётом риска",Буду и дальше наращивать капитал ,Не умею правильно ими распоряжаться ,"Дважды совершал ошибки, которые приводили к потере инвестиций ",Самостоятельная торговля на фондовом рынке,"Экономия и планирование расходов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Торговля фьючерсами и опционами",Нет,10000
12/19/2022 19:39:04,35-44,1-3 месяца,Работаю в найме,логика,больше подсказок по инвестированию,инвестициям,"Да, меньше 2-х месяцев",300-500 тыс. руб,1 млн р,50%,20%,уйду на работу попроще или совсем без работы,"недоступность квартир, недоступность путешествий","пробовал но терял, не верю в доходность больше 15% в среднем",Криптовалюта,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта","если просто книга/вебинар - 1000р, с практикой 10000р"
